STEMMERstemmer|list
religi|[religiosa, religiosas]
execis|[execisa]
\xa1tard|[\xa1tardaron]
inact|[inactivos]
jejej|[jejeje]
zeiz|[zeiza]
boquiabiert|[boquiabierto, boquiabierta]
versall|[versalles]
palemr|[palemro]
decora\xe7a|[decora\xe7ao]
tatian|[tatiana]
mugi|[mugia]
&|[&]
'|[']
pretencions|[pretencionsos]
esun|[esun, esuna]
+|[+]
3|[3]
2|[2]
1|[1]
0|[0]
7|[7]
sabrosisim|[sabrosisimas, sabrosisima, sabrosisimo]
6|[6]
5|[5]
4|[4]
salient|[salientes]
mugr|[mugre]
detenert|[detenerte]
9|[9]
8|[8]
satisfatori|[satisfatoria]
\xa1ojal|[\xa1ojala]
>|[>]
=|[=]
recontracl|[recontraclara]
<|[<]
garraf|[garrafa]
sorprend\xec|[sorprend\xeca]
estu|[estuido]
memorabili|[memorabilia]
ests|[ests]
mozo\xa1hay|[mozo\xa1hay]
esto|[esto]
estn|[estn]
timep|[timepos, timepo]
elabor|[elaborados, elaborado, elaborada, elaboradas, elabora, elaboran, elaborar, elaborarlos, elaboraciones, elaborando, elaborad, elaborarlas]
dosific|[dosificados, dosificar]
_|[_]
philadelfi|[philadelfia]
^|[^]
muuuyy|[muuuyy]
f|[f]
g|[g]
d|[d]
pucher|[puchero, pucheros]
espartan|[espartano]
e|[e]
b|[b]
c|[c]
esse|[esse]
a|[a]
n|[n]
o|[o]
l|[l]
m|[m]
j|[j]
k|[k]
discrimin|[discriminado, discriminaban, discriminan, discriminados, discrimina, discriminar, discriminen]
samoz|[samozas]
h|[h]
i|[i]
w|[w]
v|[v]
u|[u]
t|[t]
s|[s]
carcelari|[carcelaria]
r|[r]
q|[q]
unlug|[unlugar]
muiy|[muiy]
p|[p]
redicul|[rediculo]
~|[~]
}|[}]
este|[este, estee]
reliev|[relieve]
muit|[muito, muita, muitos, muitas]
z|[z]
sampl|[sampler]
y|[y]
sirah|[sirah]
x|[x]
esta|[esta]
etere|[etereo, eterea]
`porqu|[`porque]
esre|[esre]
basmaty|[basmaty]
damer|[damero]
rodolf|[rodolfo]
2\xb0|[2\xb0]
unopid|[unopide]
essa|[essa]
mugros|[mugrosos]
moz@s|[moz@s]
etern|[eterna, eternidad, eternas, eternamente, eternidades, eternos, eterno]
corpart|[corpartibles]
dozens|[dozens]
pergol|[pergola, pergolas]
cicer|[cicero]
atendiment|[atendimento]
timig|[timig]
timid|[timidamente]
much|[mucho, muchas, mucha, muchos, much]
whysky|[whysky]
esra|[esra]
raudal|[raudales]
mondong|[mondongo]
column|[columna, columnas]
spabl|[spablo]
palerm|[palermo, palermosa, palermos, palermista, palermistas]
contratiemp|[contratiempos, contratiempo]
palern|[palerno]
singul|[singular]
tama\xf1it|[tama\xf1ito]
basmati|[basmati]
spiagg|[spiagge]
arequipe\xf1|[arequipe\xf1a]
espi|[espiando, espiar, espie]
be\xf1er|[be\xf1era]
escavech|[escaveche]
aqu\xec|[aqu\xec]
chanpignon|[chanpignon]
entrecas|[entrecasa]
samus|[samusas]
buscari|[buscaria]
contrarest|[contrarestar, contrarestan, contrarestando, contraresta]
espu|[espues]
muec|[muecas, mueces]
convoc|[convocaron, convocada, convoca, convoco, convocan, convocando, convocantes]
dicetarjet|[dicetarjetas]
muel|[muela]
puchit|[puchito, puchitos]
buscart|[buscarte]
separacion|[separacion]
vaci|[vacio, vaciaba, vacias, vacia, vacios, vaciar, vacian, vaciaban, vaciado, vaciando, vaciaron, vacien, vacie]
sobresalent|[sobresalente]
siren|[sirenas]
which|[which]
muer|[mueras, muero, muera, muere, mueran, mueres]
esoy|[esoy]
vajiller|[vajillero, vajilleros]
helly|[helly]
esos|[esos]
muev|[muevamente, mueve, muevo, mueven]
canicam|[canicama]
risqu|[risque]
enviadi|[enviadiarle]
